face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\2614_face0.jpg,White,White,Male,20-29,"[9.7912890e-01 5.0241273e-05 8.9384280e-03 3.6473724e-05 1.3327219e-04
 1.2642647e-04 1.1586236e-02]",[9.9386227e-01 3.2503712e-03 2.2898753e-04 2.6583362e-03],[9.9999988e-01 1.4127778e-07],"[4.2321304e-07 3.6307360e-05 6.4331256e-03 6.7533612e-01 3.0699837e-01
 1.1120575e-02 7.4428302e-05 6.7100524e-07 1.1952598e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\2640_face0.jpg,White,White,Male,30-39,"[9.9409282e-01 1.7055463e-05 1.8724713e-03 3.3457069e-05 6.2303756e-05
 1.5864262e-05 3.9060332e-03]",[9.9969065e-01 5.8466736e-05 1.9193727e-04 5.8869344e-05],[9.9999952e-01 4.2721882e-07],"[8.6819966e-07 2.9030989e-05 6.0693510e-03 3.7081486e-01 5.5575758e-01
 6.5841794e-02 1.4689971e-03 1.7299415e-05 1.4884411e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\2695_face0.jpg,Middle Eastern,White,Male,30-39,"[2.43100867e-01 1.61308039e-04 4.11486402e-02 2.38154316e-05
 1.00491416e-04 2.37101759e-03 7.13093817e-01]",[0.9777043  0.00218649 0.00100409 0.01910519],[9.9997807e-01 2.1921305e-05],"[7.8514368e-08 1.7982167e-06 5.1513402e-04 2.9390210e-01 6.8332958e-01
 2.2205936e-02 4.5126442e-05 2.3012332e-07 4.1877746e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\273_face0.jpg,White,White,Male,30-39,"[6.9385445e-01 1.0986265e-03 3.9481431e-02 4.1974810e-05 2.4449197e-04
 9.4901479e-04 2.6432997e-01]",[9.8999763e-01 9.3324808e-03 3.7511514e-04 2.9484299e-04],[9.9964583e-01 3.5414376e-04],"[5.8406431e-06 1.8250287e-04 3.7809582e-03 2.4281320e-01 6.8684679e-01
 6.5908447e-02 4.5803408e-04 4.1129047e-06 8.0557641e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\2899_face0.jpg,White,White,Male,20-29,"[9.9613130e-01 6.8850451e-05 1.1589577e-03 1.1273771e-06 1.3052333e-05
 4.3043878e-05 2.5837908e-03]",[9.8987591e-01 8.7808305e-03 7.6130622e-05 1.2671024e-03],[9.9999988e-01 1.3054164e-07],"[6.5028277e-10 2.3259003e-07 5.2257843e-04 6.9096154e-01 3.0645138e-01
 2.0612096e-03 3.0217129e-06 1.1224339e-08 1.9250462e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\2949_face0.jpg,White,White,Male,30-39,"[9.40833509e-01 5.12590414e-05 3.14626563e-03 4.28470375e-05
 1.03536346e-04 3.73160292e-05 5.57853431e-02]",[9.9553436e-01 2.5842607e-03 7.9624786e-04 1.0852051e-03],[9.999993e-01 6.492733e-07],"[2.7136119e-07 2.9418190e-06 2.6563395e-04 2.0355643e-01 7.5592691e-01
 4.0125735e-02 1.2128754e-04 8.0528508e-07 1.5901534e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\294_face0.jpg,White,White,Male,20-29,"[9.5402080e-01 6.1453000e-05 1.2723415e-03 6.1197949e-07 3.1796637e-06
 1.3730061e-05 4.4627868e-02]",[9.7378868e-01 2.5844198e-02 7.7906574e-05 2.8922930e-04],[9.9999297e-01 7.0685373e-06],"[2.4583137e-08 1.4417678e-06 4.0293178e-03 7.4995703e-01 2.3849855e-01
 7.4423822e-03 7.0367081e-05 9.0178111e-07 1.1267192e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\2951_face0.jpg,Latino_Hispanic,Black,Male,30-39,"[4.8511922e-02 1.8801719e-02 8.2622987e-01 2.0117285e-04 2.2057609e-03
 6.9265716e-02 3.4783870e-02]",[0.35125387 0.46121985 0.01113814 0.17638806],[9.9999863e-01 1.3484016e-06],"[3.4944439e-06 4.0286639e-05 1.6353164e-03 2.8911987e-01 6.6077596e-01
 4.7846045e-02 5.7373685e-04 5.1834800e-06 5.0074789e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3000_face0.jpg,White,White,Male,30-39,"[9.8193103e-01 8.2274501e-06 7.5103808e-03 1.5327412e-04 3.5191313e-04
 1.3810333e-05 1.0031250e-02]",[9.8772985e-01 8.2784274e-04 1.1081101e-02 3.6114999e-04],[9.9999976e-01 2.5704276e-07],"[9.3196199e-08 4.2166807e-06 1.7813653e-03 4.6780249e-01 5.1438004e-01
 1.5950011e-02 8.0826154e-05 9.2105040e-07 9.9886712e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3041_face0.jpg,Latino_Hispanic,Indian,Male,30-39,"[4.8297960e-02 1.8004186e-03 4.8076740e-01 1.2470738e-04 5.8603683e-04
 4.2964473e-01 3.8778745e-02]",[0.363106   0.04996279 0.0074849  0.5794463 ],[9.999993e-01 7.425425e-07],"[4.8050642e-06 1.0585684e-05 1.5772758e-04 2.3623670e-02 5.5611593e-01
 4.0360942e-01 1.6425133e-02 5.2527503e-05 2.5968941e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3093_face0.jpg,White,White,Male,30-39,"[9.4607651e-01 1.5606011e-04 8.4071225e-03 9.2510390e-06 3.5933586e-05
 1.4455525e-03 4.3869562e-02]",[9.9355549e-01 9.1580459e-04 3.5254654e-04 5.1761293e-03],[9.9999297e-01 7.0848291e-06],"[6.8836897e-08 2.7904134e-06 1.9590156e-03 4.5849150e-01 5.1743472e-01
 2.1975536e-02 1.3559849e-04 8.1629253e-07 1.4576515e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3186_face0.jpg,Middle Eastern,White,Male,40-49,"[1.7921646e-01 1.8791859e-03 3.5302106e-02 2.6732014e-05 9.0175483e-05
 2.7822903e-03 7.8070307e-01]",[9.5942718e-01 1.8508904e-02 4.5133804e-04 2.1612547e-02],[9.9997234e-01 2.7628834e-05],"[7.9758547e-07 2.2708252e-06 3.9733561e-05 9.9300686e-03 4.0410316e-01
 5.5868101e-01 2.6982870e-02 2.5512656e-04 4.9926389e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3208_face0.jpg,Black,Black,Male,20-29,"[8.6953925e-08 9.9999285e-01 3.9392298e-06 6.3044800e-09 2.3343770e-07
 2.6873720e-06 2.7156491e-07]",[2.2371370e-07 9.9999607e-01 2.4409817e-06 1.2796997e-06],[9.9999988e-01 1.0842328e-07],"[6.6866608e-07 2.1364150e-04 1.6540131e-02 7.2629303e-01 2.4530056e-01
 1.1568188e-02 8.1506296e-05 2.0691614e-06 1.3671750e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3305_face0.jpg,Latino_Hispanic,Black,Male,20-29,"[1.3132131e-01 1.4758743e-02 6.8293619e-01 6.7430497e-05 3.3099699e-04
 5.5895457e-03 1.6499580e-01]",[0.2966458  0.57713395 0.01140024 0.11482008],[9.9999917e-01 8.4845391e-07],"[2.2571621e-07 8.4418270e-06 4.1926056e-03 8.1179047e-01 1.8157336e-01
 2.4224971e-03 1.2186417e-05 1.3815729e-07 1.7349558e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3306_face0.jpg,Middle Eastern,White,Male,30-39,"[2.0290129e-01 1.2682704e-04 3.4947265e-02 2.8764609e-05 9.5292213e-05
 4.9446188e-03 7.5695598e-01]",[0.731472   0.0111084  0.01589286 0.24152678],[0.99422884 0.00577112],"[3.4720774e-06 3.1296866e-05 7.3620956e-04 2.5589677e-02 5.2270740e-01
 4.3515980e-01 1.5656641e-02 1.1343159e-04 2.0267055e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\332_face0.jpg,Middle Eastern,White,Male,30-39,"[1.9190331e-01 1.2603019e-03 1.5662824e-01 1.7618791e-04 3.6949790e-04
 2.9396689e-02 6.2026578e-01]",[0.82484156 0.00752344 0.00460039 0.1630346 ],[9.9908596e-01 9.1399578e-04],"[1.09957509e-05 1.42436722e-04 1.22062454e-03 8.56280476e-02
 6.27789140e-01 2.76796907e-01 8.28745402e-03 1.20976736e-04
 3.46254296e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\340_face0.jpg,White,White,Male,20-29,"[6.7404932e-01 5.3584234e-05 2.9664872e-02 2.5391308e-05 1.4140671e-04
 4.1191626e-04 2.9565343e-01]",[9.9720937e-01 6.0159410e-04 2.8453962e-04 1.9044841e-03],[9.9999797e-01 2.0690773e-06],"[1.5299425e-07 1.3430261e-05 5.5651595e-03 5.9232551e-01 3.9328903e-01
 8.7806499e-03 2.5936832e-05 1.2126294e-07 1.4388607e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3418_face0.jpg,White,White,Male,20-29,"[4.7182673e-01 4.4833013e-04 1.9114862e-01 1.0170945e-03 2.7997477e-03
 1.0560374e-02 3.2219914e-01]",[9.8661476e-01 5.6429551e-04 5.2318196e-03 7.5891139e-03],[9.9997902e-01 2.0945557e-05],"[4.8345771e-07 2.4781639e-05 6.4578410e-03 5.3250778e-01 4.5170078e-01
 9.2825098e-03 2.5518973e-05 3.0966649e-07 6.5095938e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3504_face0.jpg,White,White,Male,20-29,"[9.9889004e-01 1.2795191e-05 4.2600353e-04 6.5974092e-07 5.5560736e-06
 2.2526058e-06 6.6266826e-04]",[9.9980736e-01 1.5496215e-04 2.5179797e-05 1.2499077e-05],[9.9998331e-01 1.6757156e-05],"[1.2928288e-07 6.6245440e-05 5.9342865e-02 8.2862228e-01 1.0812213e-01
 3.8049917e-03 4.0518033e-05 7.7543331e-07 2.9234949e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3818_face0.jpg,Middle Eastern,Indian,Male,30-39,"[3.1362675e-02 4.4223214e-03 2.9020986e-01 2.3812459e-05 2.0034966e-04
 5.6587309e-02 6.1719370e-01]",[0.44129688 0.10729383 0.00253231 0.44887698],[9.999900e-01 9.972015e-06],"[4.7669906e-05 1.4127414e-04 3.0010187e-03 6.8126917e-02 5.4776090e-01
 3.4366125e-01 3.6872718e-02 3.8566720e-04 2.6013013e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\391_face0.jpg,Latino_Hispanic,White,Male,30-39,"[3.2215786e-01 3.7731417e-03 4.9164385e-01 4.3479947e-04 1.8737169e-03
 2.4073353e-02 1.5604331e-01]",[0.7565241  0.00828984 0.05713838 0.17804776],[0.99724495 0.00275506],"[1.7606048e-05 1.3787769e-04 4.9180565e-03 1.3650797e-01 6.2545133e-01
 2.1808235e-01 1.4693022e-02 1.8770534e-04 4.1445951e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\3952_face0.jpg,White,White,Male,20-29,"[6.1471647e-01 4.1018016e-04 1.8203078e-02 1.0610686e-04 2.5967715e-04
 6.9248443e-04 3.6561203e-01]",[9.962764e-01 2.201727e-03 5.247964e-04 9.970844e-04],[9.999952e-01 4.829311e-06],"[3.4016255e-06 2.3931888e-04 2.3394769e-02 7.7866781e-01 1.9397832e-01
 3.6928856e-03 2.2972934e-05 5.0374194e-07 9.7130934e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4370_face0.jpg,White,White,Male,30-39,"[4.9182820e-01 2.0615257e-04 4.8197981e-02 3.4070639e-05 1.0392587e-04
 1.0576568e-03 4.5857203e-01]",[9.9443752e-01 1.4919045e-03 4.6158882e-04 3.6090410e-03],[9.9997145e-01 2.8566259e-05],"[2.2351509e-05 3.8249756e-04 1.0738497e-02 3.0865815e-01 5.7380044e-01
 1.0417147e-01 2.1780389e-03 4.7840338e-05 7.4967591e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4387_face0.jpg,White,White,Male,30-39,"[9.4173729e-01 5.3123426e-06 6.3721477e-03 5.7325280e-05 7.2546754e-05
 4.0040915e-05 5.1715285e-02]",[9.9758798e-01 4.9337235e-05 3.4841054e-04 2.0142456e-03],[9.9999774e-01 2.1907963e-06],"[5.0060203e-07 4.4865506e-06 1.0211883e-03 2.5184047e-01 6.6666543e-01
 7.9595193e-02 8.6660037e-04 6.0700099e-06 6.1361050e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4392_face0.jpg,White,White,Male,20-29,"[9.88813818e-01 4.93886591e-06 5.55863418e-03 3.35022742e-05
 1.05480925e-04 1.89332168e-05 5.46461297e-03]",[9.9943125e-01 4.5936584e-05 3.2206695e-04 2.0076212e-04],[9.9999905e-01 8.9762028e-07],"[1.13998739e-08 3.53723112e-06 6.44273218e-03 7.20669985e-01
 2.68883049e-01 3.99006717e-03 1.06272155e-05 4.13193781e-08
 5.07397180e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4418_face0.jpg,Latino_Hispanic,White,Male,30-39,"[1.6713928e-01 7.5090439e-03 6.7825276e-01 4.9241899e-05 3.5103611e-04
 1.1362841e-02 1.3533582e-01]",[0.8376336  0.04516923 0.00293817 0.11425897],[9.999986e-01 1.400063e-06],"[1.8081141e-07 5.7947454e-06 7.8580336e-04 3.8878065e-01 5.9136373e-01
 1.8990438e-02 7.2957060e-05 4.4677736e-07 5.6211369e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4419_face0.jpg,Middle Eastern,Black,Male,30-39,"[2.8992780e-02 1.8862300e-01 2.2552925e-01 4.4755175e-06 8.5578758e-05
 2.6966607e-02 5.2979827e-01]",[0.07043459 0.8679593  0.00286786 0.05873818],[1.000000e+00 2.381528e-08],"[3.4405762e-08 1.6077449e-07 6.1260493e-05 1.4821248e-01 7.8435469e-01
 6.6784233e-02 5.8273849e-04 4.3015498e-06 3.6250498e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4545_face0.jpg,White,White,Male,20-29,"[9.9357706e-01 8.0031296e-06 1.7200168e-03 2.5550112e-06 5.8911373e-06
 1.8413957e-05 4.6680844e-03]",[9.9888951e-01 5.1217258e-04 6.2452724e-05 5.3593790e-04],[9.9999261e-01 7.4232516e-06],"[3.1013545e-07 1.1062355e-05 1.1621318e-02 6.6071332e-01 2.9017845e-01
 3.6139127e-02 1.3084434e-03 2.7721087e-05 2.4640445e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4581_face0.jpg,Indian,Indian,Male,30-39,"[1.3468300e-01 1.2268110e-03 2.8799886e-01 5.1560055e-05 2.2321322e-04
 4.3641299e-01 1.3940358e-01]",[3.4229818e-01 1.0250303e-03 1.4558944e-04 6.5653121e-01],[9.999208e-01 7.924883e-05],"[1.8995902e-06 1.3954396e-05 3.0141091e-04 6.5661430e-02 7.1276271e-01
 2.1803644e-01 3.2041934e-03 1.7644659e-05 2.5211446e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4581_face1.jpg,Middle Eastern,White,Male,40-49,"[9.7571939e-02 2.6350815e-03 1.0524352e-02 1.1573290e-03 3.0114883e-04
 1.6709166e-03 8.8613921e-01]",[0.92292726 0.01566319 0.01381991 0.04758965],[0.93237936 0.06762064],"[0.00036366 0.00149446 0.01066974 0.1257874  0.20000082 0.22771342
 0.20793529 0.16964245 0.05639277]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4634_face0.jpg,Middle Eastern,Black,Male,20-29,"[4.3446999e-02 2.3403611e-02 1.3302599e-01 1.6052187e-05 1.4603480e-04
 2.9247205e-03 7.9703659e-01]",[0.16089608 0.75698805 0.00173196 0.08038394],[1.0000000e+00 5.8457053e-09],"[4.7497940e-07 2.4629693e-05 8.8119395e-03 7.0077527e-01 2.7643576e-01
 1.3779386e-02 1.6919624e-04 3.3228216e-06 2.0339989e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4697_face0.jpg,White,White,Male,30-39,"[7.3949713e-01 1.1656116e-05 5.7216412e-03 2.4939425e-05 2.7948086e-05
 1.6307311e-04 2.5455368e-01]",[9.9867171e-01 4.2199095e-05 1.5140336e-04 1.1346652e-03],[9.9999714e-01 2.9033627e-06],"[3.6212472e-07 3.7284831e-06 6.0225918e-04 1.2742282e-01 6.7024356e-01
 1.9907947e-01 2.6288556e-03 1.8775516e-05 1.4935750e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\4703_face0.jpg,White,White,Male,30-39,"[9.8562855e-01 3.8741771e-05 5.8355927e-03 4.1330779e-05 7.8803423e-05
 8.2687642e-05 8.2943719e-03]",[9.9904478e-01 1.1777983e-04 3.9920417e-04 4.3823989e-04],[9.9999708e-01 2.9280961e-06],"[6.8222084e-07 8.1587123e-06 6.4889120e-04 8.8068448e-02 7.4622673e-01
 1.6359805e-01 1.4432620e-03 5.6524527e-06 4.8025708e-08]"
